day,hijri,fajer,sunrise,dhuhr,asr,maghrib,ishaa
1,19/6/1445,5:07,6:43,11:41,2:21,4:45,6:07
2,20/6/1445,5:07,6:43,11:42,2:22,4:45,6:07
3,21/6/1445,5:07,6:44,11:42,2:22,4:46,6:08
4,22/6/1445,5:07,6:44,11:42,2:23,4:46,6:08
5,23/6/1445,5:07,6:44,11:43,2:24,4:47,6:09
6,24/6/1445,5:07,6:44,11:43,2:24,4:48,6:10
7,25/6/1445,5:07,6:44,11:44,2:25,4:49,6:10
8,26/6/1445,5:07,6:44,11:44,2:26,4:49,6:11
9,27/6/1445,5:07,6:44,11:44,2:27,4:49,6:12
10,28/6/1445,5:07,6:44,11:45,2:28,4:51,6:13
11,29/6/1445,5:07,6:45,11:45,2:28,4:52,6:13
12,30/6/1445,5:08,6:44,11:46,2:29,4:53,6:14
13,1/7/1445,5:08,6:43,11:46,2:30,4:54,6:15
14,2/7/1445,5:07,6:43,11:46,2:31,4:55,6:16
15,3/7/1445,5:07,6:43,11:47,2:32,4:56,6:17
16,4/7/1445,5:07,6:43,11:47,2:32,4:57,6:17
17,5/7/1445,5:07,6:43,11:48,2:33,4:58,6:18
18,6/7/1445,5:07,6:42,11:48,2:34,4:58,6:19
19,7/7/1445,5:07,6:42,11:48,2:35,4:59,6:20
20,8/7/1445,5:07,6:42,11:49,2:36,5:00,6:21
21,9/7/1445,5:07,6:41,11:49,2:37,5:01,6:22
22,10/7/1445,5:06,6:41,11:49,2:38,5:02,6:22
23,11/7/1445,5:06,6:40,11:49,2:38,5:03,6:23
24,12/7/1445,5:06,6:40,11:50,2:39,5:04,6:24
25,13/7/1445,5:05,6:39,11:50,2:40,5:06,6:25
26,14/7/1445,5:05,6:39,11:50,2:41,5:06,6:26
27,15/7/1445,5:05,6:38,11:50,2:42,5:07,6:27
28,16/7/1445,5:04,6:38,11:51,2:43,5:08,6:28
29,17/7/1445,5:04,6:37,11:51,2:43,5:09,6:28
30,18/7/1445,5:03,6:37,11:51,2:44,5:10,6:29
31,19/7/1445,5:03,6:36,11:51,2:45,5:11,6:30
