day,hijri,fajer,sunrise,dhuhr,asr,maghrib,ishaa
1,29/5/1446,4:48 am,6:24 am,11:26 am,2:10 pm,4:34 pm,5:55 pm
2,30/5/1446,4:48 am,6:25 am,11:27 am,2:10 pm,4:34 pm,5:55 pm
3,1/6/1446,4:49 am,6:26 am,11:27 am,2:10 pm,4:34 pm,5:56 pm
4,2/6/1446,4:50 am,6:27 am,11:28 am,2:10 pm,4:34 pm,5:56 pm
5,3/6/1446,4:51 am,6:28 am,11:28 am,2:10 pm,4:34 pm,5:56 pm
6,4/6/1446,4:51 am,6:28 am,11:29 am,2:10 pm,4:34 pm,5:56 pm
7,5/6/1446,4:52 am,6:29 am,11:29 am,2:10 pm,4:34 pm,5:55 pm
8,6/6/1446,4:53 am,6:30 am,11:29 am,2:10 pm,4:34 pm,5:55 pm
9,7/6/1446,4:53 am,6:31 am,11:30 am,2:10 pm,4:34 pm,5:56 pm
10,8/6/1446,4:54 am,6:31 am,11:30 am,2:11 pm,4:34 pm,5:56 pm
11,9/6/1446,4:55 am,6:32 am,11:31 am,2:11 pm,4:34 pm,5:56 pm
12,10/6/1446,4:56 am,6:33 am,11:31 am,2:11 pm,4:34 pm,5:56 pm
13,11/6/1446,4:56 am,6:34 am,11:31 am,2:11 pm,4:34 pm,5:57 pm
14,12/6/1446,4:57 am,6:34 am,11:32 am,2:12 pm,4:35 pm,5:57 pm
15,13/6/1446,4:58 am,6:35 am,11:32 am,2:12 pm,4:35 pm,5:57 pm
16,14/6/1446,4:58 am,6:36 am,11:33 am,2:12 pm,4:35 pm,5:58 pm
17,15/6/1446,4:59 am,6:36 am,11:33 am,2:13 pm,4:35 pm,5:58 pm
18,16/6/1446,4:59 am,6:37 am,11:34 am,2:13 pm,4:36 pm,5:58 pm
19,17/6/1446,5:00 am,6:37 am,11:34 am,2:13 pm,4:36 pm,5:59 pm
20,18/6/1446,5:00 am,6:38 am,11:35 am,2:14 pm,4:37 pm,5:59 pm
21,19/6/1446,5:01 am,6:39 am,11:35 am,2:14 pm,4:37 pm,6:00 pm
22,20/6/1446,5:02 am,6:39 am,11:36 am,2:15 pm,4:38 pm,6:00 pm
23,21/6/1446,5:02 am,6:40 am,11:36 am,2:15 pm,4:38 pm,6:01 pm
24,22/6/1446,5:03 am,6:40 am,11:37 am,2:16 pm,4:39 pm,6:01 pm
25,23/6/1446,5:03 am,6:40 am,11:37 am,2:16 pm,4:39 pm,6:02 pm
26,24/6/1446,5:03 am,6:41 am,11:38 am,2:17 pm,4:40 pm,6:02 pm
27,25/6/1446,5:04 am,6:41 am,11:38 am,2:17 pm,4:40 pm,6:03 pm
28,26/6/1446,5:04 am,6:42 am,11:39 am,2:18 pm,4:41 pm,6:03 pm
29,27/6/1446,5:05 am,6:42 am,11:39 am,2:19 pm,4:42 pm,6:04 pm
30,28/6/1446,5:05 am,6:43 am,11:40 am,2:19 pm,4:42 pm,6:05 pm
31,29/6/1446,5:05 am,6:43 am,11:40 am,2:20 pm,4:43 pm,6:05 pm
