day,hijri,fajer,sunrise,dhuhr,asr,maghrib,ishaa
1,28/2/1446,4:35 am,6:11 am,12:38 pm,4:15 pm,7:10 pm,8:30 pm
2,29/2/1446,4:35 am,6:11 am,12:38 pm,4:15 pm,7:09 pm,8:28 pm
3,30/2/1446,4:36 am,6:12 am,12:37 pm,4:14 pm,7:08 pm,8:27 pm
4,1/3/1446,4:37 am,6:13 am,12:37 pm,4:13 pm,7:06 pm,8:25 pm
5,2/3/1446,4:38 am,6:13 am,12:37 pm,4:13 pm,7:05 pm,8:24 pm
6,3/3/1446,4:39 am,6:14 am,12:36 pm,4:12 pm,7:04 pm,8:21 pm
7,4/3/1446,4:40 am,6:15 am,12:36 pm,4:11 pm,7:02 pm,8:21 pm
8,5/3/1446,4:41 am,6:15 am,12:36 pm,4:10 pm,7:01 pm,8:19 pm
9,6/3/1446,4:41 am,6:16 am,12:35 pm,4:10 pm,6:59 pm,8:18 pm
10,7/3/1446,4:43 am,6:17 am,12:35 pm,4:09 pm,6:58 pm,8:16 pm
11,8/3/1446,4:43 am,6:17 am,12:35 pm,4:08 pm,6:57 pm,8:14 pm
12,9/3/1446,4:44 am,6:18 am,12:34 pm,4:07 pm,6:55 pm,8:13 pm
13,10/3/1446,4:45 am,6:19 am,12:34 pm,4:06 pm,6:54 pm,8:11 pm
14,11/3/1446,4:46 am,6:20 am,12:34 pm,4:06 pm,6:53 pm,8:10 pm
15,12/3/1446,4:47 am,6:20 am,12:33 pm,4:05 pm,6:51 pm,8:08 pm
16,13/3/1446,4:48 am,6:22 am,12:33 pm,4:04 pm,6:49 pm,8:07 pm
17,14/3/1446,4:49 am,6:22 am,12:32 pm,4:03 pm,6:48 pm,8:05 pm
18,15/3/1446,4:50 am,6:22 am,12:32 pm,4:02 pm,6:46 pm,8:04 pm
19,16/3/1446,4:51 am,6:23 am,12:32 pm,4:01 pm,6:46 pm,8:03 pm
20,17/3/1446,4:51 am,6:24 am,12:31 pm,4:01 pm,6:44 pm,8:01 pm
21,18/3/1446,4:52 am,6:24 am,12:31 pm,4:00 pm,6:43 pm,7:59 pm
22,19/3/1446,4:53 am,6:25 am,12:31 pm,3:59 pm,6:41 pm,7:58 pm
23,20/3/1446,4:54 am,6:26 am,12:30 pm,3:58 pm,6:40 pm,7:56 pm
24,21/3/1446,4:54 am,6:28 am,12:30 pm,3:57 pm,6:38 pm,7:55 pm
25,22/3/1446,4:55 am,6:28 am,12:30 pm,3:56 pm,6:37 pm,7:53 pm
26,23/3/1446,4:56 am,6:28 am,12:29 pm,3:55 pm,6:36 pm,7:52 pm
27,24/3/1446,4:57 am,6:29 am,12:29 pm,3:54 pm,6:34 pm,7:51 pm
28,25/3/1446,4:58 am,6:30 am,12:29 pm,3:53 pm,6:33 pm,7:49 pm
29,26/3/1446,4:58 am,6:30 am,12:28 pm,3:52 pm,6:32 pm,7:48 pm
30,27/3/1446,4:59 am,6:31 am,12:28 pm,3:52 pm,6:30 pm,7:46 pm
